66033 silly lifecycle archy@1.0.0~preinstall: no script for preinstall, continuing
68222 silly linkStuff get-stream@3.0.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68223 verbose linkBins get-stream@3.0.0
68224 verbose linkMans get-stream@3.0.0
68225 silly build assert-plus@1.0.0
68226 info linkStuff assert-plus@1.0.0
68227 silly linkStuff assert-plus@1.0.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/getpass/node_modules as its parent node_modules
68228 verbose linkBins assert-plus@1.0.0
68229 verbose linkMans assert-plus@1.0.0
68230 silly build getpass@0.1.7
68231 info linkStuff getpass@0.1.7
68232 silly linkStuff getpass@0.1.7 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68233 verbose linkBins getpass@0.1.7
68234 verbose linkMans getpass@0.1.7
68235 silly build isarray@0.0.1
68236 info linkStuff isarray@0.0.1
68237 silly linkStuff isarray@0.0.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/glob-stream/node_modules as its parent node_modules
68238 verbose linkBins isarray@0.0.1
68239 verbose linkMans isarray@0.0.1
68240 silly build minimatch@2.0.10
68241 info linkStuff minimatch@2.0.10
68242 silly linkStuff minimatch@2.0.10 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/glob-stream/node_modules as its parent node_modules
68243 verbose linkBins minimatch@2.0.10
68244 verbose linkMans minimatch@2.0.10
68245 silly build xtend@4.0.1
68246 info linkStuff xtend@4.0.1
68247 silly linkStuff xtend@4.0.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/glob-stream/node_modules as its parent node_modules
68248 verbose linkBins xtend@4.0.1
68249 verbose linkMans xtend@4.0.1
68250 silly build glob2base@0.0.12
68251 info linkStuff glob2base@0.0.12
68252 silly linkStuff glob2base@0.0.12 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68253 verbose linkBins glob2base@0.0.12
68254 verbose linkMans glob2base@0.0.12
68255 silly build globals@9.18.0
68256 info linkStuff globals@9.18.0
68257 silly linkStuff globals@9.18.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68258 verbose linkBins globals@9.18.0
68259 verbose linkMans globals@9.18.0
68260 silly build graceful-fs@1.2.3
68261 info linkStuff graceful-fs@1.2.3
68262 silly linkStuff graceful-fs@1.2.3 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/globule/node_modules as its parent node_modules
68263 verbose linkBins graceful-fs@1.2.3
68264 verbose linkMans graceful-fs@1.2.3
68265 silly build inherits@1.0.2
68266 info linkStuff inherits@1.0.2
68267 silly linkStuff inherits@1.0.2 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/globule/node_modules as its parent node_modules
68268 verbose linkBins inherits@1.0.2
68269 verbose linkMans inherits@1.0.2
68270 silly build lodash@1.0.2
68271 info linkStuff lodash@1.0.2
68272 silly linkStuff lodash@1.0.2 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/globule/node_modules as its parent node_modules
68273 verbose linkBins lodash@1.0.2
68274 verbose linkMans lodash@1.0.2
68275 silly build isarray@0.0.1
68276 info linkStuff isarray@0.0.1
68277 silly linkStuff isarray@0.0.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/glsl-tokenizer/node_modules as its parent node_modules
68278 verbose linkBins isarray@0.0.1
68279 verbose linkMans isarray@0.0.1
68280 silly build xtend@4.0.1
68281 info linkStuff xtend@4.0.1
68282 silly linkStuff xtend@4.0.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/glsl-tokenizer/node_modules as its parent node_modules
68283 verbose linkBins xtend@4.0.1
68284 verbose linkMans xtend@4.0.1
68285 silly build graceful-fs@4.1.11
68286 info linkStuff graceful-fs@4.1.11
68287 silly linkStuff graceful-fs@4.1.11 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68288 verbose linkBins graceful-fs@4.1.11
68289 verbose linkMans graceful-fs@4.1.11
68290 silly build graceful-readlink@1.0.1
68291 info linkStuff graceful-readlink@1.0.1
68292 silly linkStuff graceful-readlink@1.0.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68293 verbose linkBins graceful-readlink@1.0.1
68294 verbose linkMans graceful-readlink@1.0.1
68295 silly build commander@2.9.0
68296 info linkStuff commander@2.9.0
68297 silly linkStuff commander@2.9.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68298 verbose linkBins commander@2.9.0
68299 verbose linkMans commander@2.9.0
68300 silly build gulp-rename@1.2.2
68301 info linkStuff gulp-rename@1.2.2
68302 silly linkStuff gulp-rename@1.2.2 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68303 verbose linkBins gulp-rename@1.2.2
68304 verbose linkMans gulp-rename@1.2.2
68305 silly build xtend@4.0.1
68306 info linkStuff xtend@4.0.1
68307 silly linkStuff xtend@4.0.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/gulp-tap/node_modules as its parent node_modules
68308 verbose linkBins xtend@4.0.1
68309 verbose linkMans xtend@4.0.1
68310 silly build object-assign@3.0.0
68311 info linkStuff object-assign@3.0.0
68312 silly linkStuff object-assign@3.0.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/gulp-util/node_modules as its parent node_modules
68313 verbose linkBins object-assign@3.0.0
68314 verbose linkMans object-assign@3.0.0
68315 silly build xtend@4.0.1
68316 info linkStuff xtend@4.0.1
68317 silly linkStuff xtend@4.0.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/gulp-util/node_modules as its parent node_modules
68318 verbose linkBins xtend@4.0.1
68319 verbose linkMans xtend@4.0.1
68320 silly build xtend@4.0.1
68321 info linkStuff xtend@4.0.1
68322 silly linkStuff xtend@4.0.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/gulp-zip/node_modules as its parent node_modules
68323 verbose linkBins xtend@4.0.1
68324 verbose linkMans xtend@4.0.1
68325 silly build semver@4.3.6
68326 info linkStuff semver@4.3.6
68327 silly linkStuff semver@4.3.6 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/gulp/node_modules as its parent node_modules
68328 verbose linkBins semver@4.3.6
68329 verbose link bins [ { semver: './bin/semver' },
68329 verbose link bins   '/mnt/c/Users/윤지영/Desktop/cesium/node_modules/gulp/node_modules/.bin',
68329 verbose link bins   false ]
68330 verbose linkMans semver@4.3.6
68331 silly gentlyRm /mnt/c/Users/윤지영/Desktop/cesium/node_modules/gulp/node_modules/.bin/semver is being purged
68332 verbose gentlyRm don't care about contents; nuking /mnt/c/Users/윤지영/Desktop/cesium/node_modules/gulp/node_modules/.bin/semver
68333 silly build har-schema@1.0.5
68334 info linkStuff har-schema@1.0.5
68335 silly linkStuff har-schema@1.0.5 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68336 verbose linkBins har-schema@1.0.5
68337 verbose linkMans har-schema@1.0.5
68338 silly build has-ansi@2.0.0
68339 info linkStuff has-ansi@2.0.0
68340 silly linkStuff has-ansi@2.0.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68341 verbose linkBins has-ansi@2.0.0
68342 verbose linkMans has-ansi@2.0.0
68343 silly build isarray@0.0.1
68344 info linkStuff isarray@0.0.1
68345 silly linkStuff isarray@0.0.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/has-binary/node_modules as its parent node_modules
68346 verbose linkBins isarray@0.0.1
68347 verbose linkMans isarray@0.0.1
68348 silly build has-binary@0.1.7
68349 info linkStuff has-binary@0.1.7
68350 silly linkStuff has-binary@0.1.7 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68351 verbose linkBins has-binary@0.1.7
68352 verbose linkMans has-binary@0.1.7
68353 silly build has-cors@1.1.0
68354 info linkStuff has-cors@1.1.0
68355 silly linkStuff has-cors@1.1.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68356 verbose linkBins has-cors@1.1.0
68357 verbose linkMans has-cors@1.1.0
68358 silly build hoek@2.16.3
68359 info linkStuff hoek@2.16.3
68360 silly linkStuff hoek@2.16.3 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68361 verbose linkBins hoek@2.16.3
68362 verbose linkMans hoek@2.16.3
68363 silly build boom@2.10.1
68364 info linkStuff boom@2.10.1
68365 silly linkStuff boom@2.10.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68366 verbose linkBins boom@2.10.1
68367 verbose linkMans boom@2.10.1
68368 silly build cryptiles@2.0.5
68369 info linkStuff cryptiles@2.0.5
68370 silly linkStuff cryptiles@2.0.5 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68371 verbose linkBins cryptiles@2.0.5
68372 verbose linkMans cryptiles@2.0.5
68373 silly build home-path@1.0.5
68374 info linkStuff home-path@1.0.5
68375 silly linkStuff home-path@1.0.5 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68376 verbose linkBins home-path@1.0.5
68377 verbose linkMans home-path@1.0.5
68378 silly build hosted-git-info@2.5.0
68379 info linkStuff hosted-git-info@2.5.0
68380 silly linkStuff hosted-git-info@2.5.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68381 verbose linkBins hosted-git-info@2.5.0
68382 verbose linkMans hosted-git-info@2.5.0
68383 silly build iconv-lite@0.4.15
68384 info linkStuff iconv-lite@0.4.15
68385 silly linkStuff iconv-lite@0.4.15 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68386 verbose linkBins iconv-lite@0.4.15
68387 verbose linkMans iconv-lite@0.4.15
68388 silly build ieee754@1.1.8
68389 info linkStuff ieee754@1.1.8
68390 silly linkStuff ieee754@1.1.8 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68391 verbose linkBins ieee754@1.1.8
68392 verbose linkMans ieee754@1.1.8
68393 silly build ignore@3.3.3
68394 info linkStuff ignore@3.3.3
68395 silly linkStuff ignore@3.3.3 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68396 verbose linkBins ignore@3.3.3
68397 verbose linkMans ignore@3.3.3
68398 silly build imurmurhash@0.1.4
68399 info linkStuff imurmurhash@0.1.4
68400 silly linkStuff imurmurhash@0.1.4 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68401 verbose linkBins imurmurhash@0.1.4
68402 verbose linkMans imurmurhash@0.1.4
68403 silly build indexof@0.0.1
68404 info linkStuff indexof@0.0.1
68405 silly linkStuff indexof@0.0.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68406 verbose linkBins indexof@0.0.1
68407 verbose linkMans indexof@0.0.1
68408 silly build inherits@2.0.3
68409 info linkStuff inherits@2.0.3
68410 silly linkStuff inherits@2.0.3 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68411 verbose linkBins inherits@2.0.3
68412 verbose linkMans inherits@2.0.3
68413 silly build ini@1.3.4
68414 info linkStuff ini@1.3.4
68415 silly linkStuff ini@1.3.4 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68416 verbose linkBins ini@1.3.4
68417 verbose linkMans ini@1.3.4
68418 silly build interpret@1.0.3
68419 info linkStuff interpret@1.0.3
68420 silly linkStuff interpret@1.0.3 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68421 verbose linkBins interpret@1.0.3
68422 verbose linkMans interpret@1.0.3
68423 silly build invert-kv@1.0.0
68424 info linkStuff invert-kv@1.0.0
68425 silly linkStuff invert-kv@1.0.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68426 verbose linkBins invert-kv@1.0.0
68427 verbose linkMans invert-kv@1.0.0
68428 silly build ipaddr.js@1.3.0
68429 info linkStuff ipaddr.js@1.3.0
68430 silly linkStuff ipaddr.js@1.3.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68431 verbose linkBins ipaddr.js@1.3.0
68432 verbose linkMans ipaddr.js@1.3.0
68433 silly build is-arrayish@0.2.1
68434 info linkStuff is-arrayish@0.2.1
68435 silly linkStuff is-arrayish@0.2.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68436 verbose linkBins is-arrayish@0.2.1
68437 verbose linkMans is-arrayish@0.2.1
68438 silly build error-ex@1.3.1
68439 info linkStuff error-ex@1.3.1
68440 silly linkStuff error-ex@1.3.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68441 verbose linkBins error-ex@1.3.1
68442 verbose linkMans error-ex@1.3.1
68443 silly build is-binary-path@1.0.1
68444 info linkStuff is-binary-path@1.0.1
68445 silly linkStuff is-binary-path@1.0.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68446 verbose linkBins is-binary-path@1.0.1
68447 verbose linkMans is-binary-path@1.0.1
68448 silly build is-buffer@1.1.5
68449 info linkStuff is-buffer@1.1.5
68450 silly linkStuff is-buffer@1.1.5 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68451 verbose linkBins is-buffer@1.1.5
68452 verbose linkMans is-buffer@1.1.5
68453 silly build is-builtin-module@1.0.0
68454 info linkStuff is-builtin-module@1.0.0
68455 silly linkStuff is-builtin-module@1.0.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68456 verbose linkBins is-builtin-module@1.0.0
68457 verbose linkMans is-builtin-module@1.0.0
68458 silly build is-dotfile@1.0.3
68459 info linkStuff is-dotfile@1.0.3
68460 silly linkStuff is-dotfile@1.0.3 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68461 verbose linkBins is-dotfile@1.0.3
68462 verbose linkMans is-dotfile@1.0.3
68463 silly build is-extendable@0.1.1
68464 info linkStuff is-extendable@0.1.1
68465 silly linkStuff is-extendable@0.1.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68466 verbose linkBins is-extendable@0.1.1
68467 verbose linkMans is-extendable@0.1.1
68468 silly build is-extglob@1.0.0
68469 info linkStuff is-extglob@1.0.0
68470 silly linkStuff is-extglob@1.0.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68471 verbose linkBins is-extglob@1.0.0
68472 verbose linkMans is-extglob@1.0.0
68473 silly build extglob@0.3.2
68474 info linkStuff extglob@0.3.2
68475 silly linkStuff extglob@0.3.2 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68476 verbose linkBins extglob@0.3.2
68477 verbose linkMans extglob@0.3.2
68478 silly build is-glob@2.0.1
68479 info linkStuff is-glob@2.0.1
68480 silly linkStuff is-glob@2.0.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68481 verbose linkBins is-glob@2.0.1
68482 verbose linkMans is-glob@2.0.1
68483 silly build glob-parent@2.0.0
68484 info linkStuff glob-parent@2.0.0
68485 silly linkStuff glob-parent@2.0.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68486 verbose linkBins glob-parent@2.0.0
68487 verbose linkMans glob-parent@2.0.0
68488 silly build glob-base@0.3.0
68489 info linkStuff glob-base@0.3.0
68490 silly linkStuff glob-base@0.3.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68491 verbose linkBins glob-base@0.3.0
68492 verbose linkMans glob-base@0.3.0
68493 silly build xtend@4.0.1
68494 info linkStuff xtend@4.0.1
68495 silly linkStuff xtend@4.0.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/is-my-json-valid/node_modules as its parent node_modules
68496 verbose linkBins xtend@4.0.1
68497 verbose linkMans xtend@4.0.1
68498 silly build is-path-cwd@1.0.0
68499 info linkStuff is-path-cwd@1.0.0
68500 silly linkStuff is-path-cwd@1.0.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68501 verbose linkBins is-path-cwd@1.0.0
68502 verbose linkMans is-path-cwd@1.0.0
68503 silly build isobject@3.0.1
68504 info linkStuff isobject@3.0.1
68505 silly linkStuff isobject@3.0.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/is-plain-object/node_modules as its parent node_modules
68506 verbose linkBins isobject@3.0.1
68507 verbose linkMans isobject@3.0.1
68508 silly build is-plain-object@2.0.3
68509 info linkStuff is-plain-object@2.0.3
68510 silly linkStuff is-plain-object@2.0.3 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68511 verbose linkBins is-plain-object@2.0.3
68512 verbose linkMans is-plain-object@2.0.3
68513 silly build is-posix-bracket@0.1.1
68514 info linkStuff is-posix-bracket@0.1.1
68515 silly linkStuff is-posix-bracket@0.1.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68516 verbose linkBins is-posix-bracket@0.1.1
68517 verbose linkMans is-posix-bracket@0.1.1
68518 silly build expand-brackets@0.1.5
68519 info linkStuff expand-brackets@0.1.5
68520 silly linkStuff expand-brackets@0.1.5 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68521 verbose linkBins expand-brackets@0.1.5
68522 verbose linkMans expand-brackets@0.1.5
68523 silly build is-primitive@2.0.0
68524 info linkStuff is-primitive@2.0.0
68525 silly linkStuff is-primitive@2.0.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68526 verbose linkBins is-primitive@2.0.0
68527 verbose linkMans is-primitive@2.0.0
68528 silly build is-equal-shallow@0.1.3
68529 info linkStuff is-equal-shallow@0.1.3
68530 silly linkStuff is-equal-shallow@0.1.3 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68531 verbose linkBins is-equal-shallow@0.1.3
68532 verbose linkMans is-equal-shallow@0.1.3
68533 silly build is-property@1.0.2
68534 info linkStuff is-property@1.0.2
68535 silly linkStuff is-property@1.0.2 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68536 verbose linkBins is-property@1.0.2
68537 verbose linkMans is-property@1.0.2
68538 silly build generate-object-property@1.2.0
68539 info linkStuff generate-object-property@1.2.0
68540 silly linkStuff generate-object-property@1.2.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68541 verbose linkBins generate-object-property@1.2.0
68542 verbose linkMans generate-object-property@1.2.0
68543 silly build is-stream@1.1.0
68544 info linkStuff is-stream@1.1.0
68545 silly linkStuff is-stream@1.1.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68546 verbose linkBins is-stream@1.1.0
68547 verbose linkMans is-stream@1.1.0
68548 silly build is-typedarray@1.0.0
68549 info linkStuff is-typedarray@1.0.0
68550 silly linkStuff is-typedarray@1.0.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68551 verbose linkBins is-typedarray@1.0.0
68552 verbose linkMans is-typedarray@1.0.0
68553 silly build is-utf8@0.2.1
68554 info linkStuff is-utf8@0.2.1
68555 silly linkStuff is-utf8@0.2.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68556 verbose linkBins is-utf8@0.2.1
68557 verbose linkMans is-utf8@0.2.1
68558 silly build is-windows@0.2.0
68559 info linkStuff is-windows@0.2.0
68560 silly linkStuff is-windows@0.2.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68561 verbose linkBins is-windows@0.2.0
68562 verbose linkMans is-windows@0.2.0
68563 silly build isarray@1.0.0
68564 info linkStuff isarray@1.0.0
68565 silly linkStuff isarray@1.0.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68566 verbose linkBins isarray@1.0.0
68567 verbose linkMans isarray@1.0.0
68568 silly build doctrine@2.0.0
68569 info linkStuff doctrine@2.0.0
68570 silly linkStuff doctrine@2.0.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68571 verbose linkBins doctrine@2.0.0
68572 verbose linkMans doctrine@2.0.0
68573 silly build buffer@4.9.1
68574 info linkStuff buffer@4.9.1
68575 silly linkStuff buffer@4.9.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68576 verbose linkBins buffer@4.9.1
68577 verbose linkMans buffer@4.9.1
68578 silly build isbinaryfile@3.0.2
68579 info linkStuff isbinaryfile@3.0.2
68580 silly linkStuff isbinaryfile@3.0.2 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68581 verbose linkBins isbinaryfile@3.0.2
68582 verbose linkMans isbinaryfile@3.0.2
68583 silly build isexe@2.0.0
68584 info linkStuff isexe@2.0.0
68585 silly linkStuff isexe@2.0.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68586 verbose linkBins isexe@2.0.0
68587 verbose linkMans isexe@2.0.0
68588 silly build isobject@2.1.0
68589 info linkStuff isobject@2.1.0
68590 silly linkStuff isobject@2.1.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68591 verbose linkBins isobject@2.1.0
68592 verbose linkMans isobject@2.1.0
68593 silly build isstream@0.1.2
68594 info linkStuff isstream@0.1.2
68595 silly linkStuff isstream@0.1.2 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68596 verbose linkBins isstream@0.1.2
68597 verbose linkMans isstream@0.1.2
68598 silly build jasmine-core@2.6.4
68599 info linkStuff jasmine-core@2.6.4
68600 silly linkStuff jasmine-core@2.6.4 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68601 verbose linkBins jasmine-core@2.6.4
68602 verbose linkMans jasmine-core@2.6.4
68603 silly build jmespath@0.15.0
68604 info linkStuff jmespath@0.15.0
68605 silly linkStuff jmespath@0.15.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68606 verbose linkBins jmespath@0.15.0
68607 verbose linkMans jmespath@0.15.0
68608 silly build js-string-escape@1.0.1
68609 info linkStuff js-string-escape@1.0.1
68610 silly linkStuff js-string-escape@1.0.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68611 verbose linkBins js-string-escape@1.0.1
68612 verbose linkMans js-string-escape@1.0.1
68613 silly build js-tokens@3.0.2
68614 info linkStuff js-tokens@3.0.2
68615 silly linkStuff js-tokens@3.0.2 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68616 verbose linkBins js-tokens@3.0.2
68617 verbose linkMans js-tokens@3.0.2
68618 silly build js2xmlparser@1.0.0
68619 info linkStuff js2xmlparser@1.0.0
68620 silly linkStuff js2xmlparser@1.0.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68621 verbose linkBins js2xmlparser@1.0.0
68622 verbose linkMans js2xmlparser@1.0.0
68623 silly build jsbn@0.1.1
68624 info linkStuff jsbn@0.1.1
68625 silly linkStuff jsbn@0.1.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68626 verbose linkBins jsbn@0.1.1
68627 verbose linkMans jsbn@0.1.1
68628 silly build ecc-jsbn@0.1.1
68629 info linkStuff ecc-jsbn@0.1.1
68630 silly linkStuff ecc-jsbn@0.1.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68631 verbose linkBins ecc-jsbn@0.1.1
68632 verbose linkMans ecc-jsbn@0.1.1
68633 silly build acorn@3.3.0
68634 info linkStuff acorn@3.3.0
68635 silly linkStuff acorn@3.3.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/jsdoc/node_modules as its parent node_modules
68636 verbose linkBins acorn@3.3.0
68637 verbose link bins [ { acorn: './bin/acorn' },
68637 verbose link bins   '/mnt/c/Users/윤지영/Desktop/cesium/node_modules/jsdoc/node_modules/.bin',
68637 verbose link bins   false ]
68638 verbose linkMans acorn@3.3.0
68639 silly gentlyRm /mnt/c/Users/윤지영/Desktop/cesium/node_modules/jsdoc/node_modules/.bin/acorn is being purged
68640 verbose gentlyRm don't care about contents; nuking /mnt/c/Users/윤지영/Desktop/cesium/node_modules/jsdoc/node_modules/.bin/acorn
68641 silly build bluebird@3.4.7
68642 info linkStuff bluebird@3.4.7
68643 silly linkStuff bluebird@3.4.7 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/jsdoc/node_modules as its parent node_modules
68644 verbose linkBins bluebird@3.4.7
68645 verbose linkMans bluebird@3.4.7
68646 silly build espree@3.1.7
68647 info linkStuff espree@3.1.7
68648 silly linkStuff espree@3.1.7 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules/jsdoc/node_modules as its parent node_modules
68649 verbose linkBins espree@3.1.7
68650 verbose linkMans espree@3.1.7
68651 silly build json-schema@0.2.3
68652 info linkStuff json-schema@0.2.3
68653 silly linkStuff json-schema@0.2.3 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68654 verbose linkBins json-schema@0.2.3
68655 verbose linkMans json-schema@0.2.3
68656 silly build json-stringify-safe@5.0.1
68657 info linkStuff json-stringify-safe@5.0.1
68658 silly linkStuff json-stringify-safe@5.0.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68659 verbose linkBins json-stringify-safe@5.0.1
68660 verbose linkMans json-stringify-safe@5.0.1
68661 silly build json3@3.3.2
68662 info linkStuff json3@3.3.2
68663 silly linkStuff json3@3.3.2 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68664 verbose linkBins json3@3.3.2
68665 verbose linkMans json3@3.3.2
68666 silly build jsonfile@2.4.0
68667 info linkStuff jsonfile@2.4.0
68668 silly linkStuff jsonfile@2.4.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68669 verbose linkBins jsonfile@2.4.0
68670 verbose linkMans jsonfile@2.4.0
68671 silly build jsonify@0.0.0
68672 info linkStuff jsonify@0.0.0
68673 silly linkStuff jsonify@0.0.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68674 verbose linkBins jsonify@0.0.0
68675 verbose linkMans jsonify@0.0.0
68676 silly build json-stable-stringify@1.0.1
68677 info linkStuff json-stable-stringify@1.0.1
68678 silly linkStuff json-stable-stringify@1.0.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68679 verbose linkBins json-stable-stringify@1.0.1
68680 verbose linkMans json-stable-stringify@1.0.1
68681 silly build ajv@4.11.8
68682 info linkStuff ajv@4.11.8
68683 silly linkStuff ajv@4.11.8 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68684 verbose linkBins ajv@4.11.8
68685 verbose linkMans ajv@4.11.8
68686 silly build har-validator@4.2.1
68687 info linkStuff har-validator@4.2.1
68688 silly linkStuff har-validator@4.2.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68689 verbose linkBins har-validator@4.2.1
68690 verbose linkMans har-validator@4.2.1
68691 silly build jsonpointer@4.0.1
68692 info linkStuff jsonpointer@4.0.1
68693 silly linkStuff jsonpointer@4.0.1 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68694 verbose linkBins jsonpointer@4.0.1
68695 verbose linkMans jsonpointer@4.0.1
68696 silly build is-my-json-valid@2.16.0
68697 info linkStuff is-my-json-valid@2.16.0
68698 silly linkStuff is-my-json-valid@2.16.0 has /mnt/c/Users/윤지영/Desktop/cesium/node_modules as its parent node_modules
68699 verbose linkBins is-my-json-valid@2.16.0
